Date,Close,High,Low,Open,Volume
2014-01-02,81.74,84.28,81.08,83.13,1996492
2014-01-03,80.53,82.5,80.4,82.0,1812680
2014-01-06,81.05,81.36,80.06,81.06,1730264
2014-01-07,82.43,83.1,81.63,81.63,1269679
2014-01-08,82.52,83.49,81.77,82.18,1304181
2014-01-09,81.23,83.05,80.46,82.56,1607259
2014-01-10,81.71,82.05,80.89,81.85,898316
2014-01-13,79.67,82.29,79.56,81.75,1766573
2014-01-14,82.17,82.25,79.28,79.28,1465818
2014-01-15,83.72,83.8,81.73,82.51,1546240
2014-01-16,83.97,84.97,83.0,84.1,1662795
2014-01-17,82.64,84.43,82.61,84.43,1389831
2014-01-20,82.64,82.64,82.64,82.64,0
2014-01-21,84.93,85.0,82.31,82.96,1415100
2014-01-22,87.42,88.24,86.26,87.19,2185013
2014-01-23,86.68,88.71,86.22,88.05,1745422
2014-01-24,86.15,87.1,85.01,86.12,2274229
2014-01-27,84.26,86.15,83.0,86.0,1596763
2014-01-28,86.52,86.59,84.43,84.73,1356735
2014-01-29,85.26,87.85,84.35,85.01,2863341
2014-01-30,85.46,86.5,84.62,84.63,2145210
2014-01-31,86.19,86.81,84.01,84.12,1648381
2014-02-03,84.99,87.29,84.83,86.5,1471728
2014-02-04,87.65,88.82,86.21,86.21,2376480
2014-02-05,86.13,88.88,85.77,88.13,2605980
2014-02-06,83.99,87.29,83.01,86.41,3591769
2014-02-07,84.03,84.8,82.37,84.05,2470320
2014-02-10,84.39,84.42,82.91,83.58,1544299
2014-02-11,84.89,85.14,83.96,84.37,1462391
2014-02-12,84.53,85.77,83.92,85.31,921221
2014-02-13,84.21,85.05,82.97,83.73,1347334
2014-02-14,85.49,85.88,83.93,84.55,1355958
2014-02-17,85.49,85.49,85.49,85.49,0
2014-02-18,86.8,87.08,85.31,85.42,1395289
2014-02-19,87.58,88.49,86.49,86.81,1745711
2014-02-20,87.52,87.75,85.54,86.72,2089001
2014-02-21,85.67,87.51,85.48,87.14,2461754
2014-02-24,87.53,89.19,85.88,86.19,2098585
